geo,year,production
HU,2013,433.97
HU,2014,390.46
HU,2015,457.92
HU,2016,462.69
HU,2017,514.26
HU,2018,518.92
HU,2019,445.46
HU,2020,422.58
HU,2021,429.89
HU,2022,406.52
HU,2023,403.62
HU,2024,379.41
